Title,Company,Location,Salary,Summary
Operations Support Specialist,Shelf Engine,Washington State•Remote,"$50,000 - $62,000 a year","We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States."
Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"The team is focused on applying deep learning techniques to solve AI problems such as copilot, question answering, NL2Code and various customer-facing products."
"Privacy Policy Manager, Artificial Intelligence",Facebook,"Menlo Park, CA 94025",,"A strong candidate will be familiar with privacy and fairness policy issues related to AI/ML, and how they relate to social media platforms, messaging services,…"
Investigation Specialist,Amazon.com Services LLC,"Bellevue, WA",,"Experience working cross functionally with tech and non-tech teams.Have the ability to research complex use cases that involves multiple customer contacts,…"
"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Seattle, WA 98104 (Downtown area)",,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
Machine Learning Researcher – Adversarial AI,Two Six Technologies,"Tacoma, WA+1 location",,"We've built large-scale data mining and generation pipelines, prototypes to visualize graphs with millions of nodes, and automated systems that detect malware,…"
Finance Manager - Cloud + Artificial Intelligence,Microsoft,"Redmond, WA 98052 (Overlake area)",,Assembles and summarizes data through data mining and business intelligence to structure reports and financial models for decision support.
"AWS AI/ML Seattle Office Admin Assistant, AWS Artificial Int...","Amazon Web Services, Inc.","Seattle, WA",,High school or equivalent diploma.3+ years of work experience in an administrative/ office management capacity.Experience working with senior leadership.
"Senior Applied Scientist, Alexa Artificial Intelligence",Amazon.com Services LLC,"Seattle, WA",,PhD degree with 4 years of applied research experience or a Masters degree and 6+ years of experience of applied research experience.
Post Doc Researcher _ Productivity + Intelligence_ Microsoft...,Microsoft,"Redmond, WA 98052 (Overlake area)",,"The Productivity + Intelligence group brings together expertise from artificial intelligence, human-computer interaction, information retrieval, and software…"
"AI/ML - Chief of Staff, Machine Intelligence",Apple,"Seattle, WA",,The Machine Intelligence team is accelerating the creation of intelligent experiences in every Apple product.
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State+1 location•Remote,"$127,100 - $203,000 a year","Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk…"
Fulfillment & Client Engagement Manager,Modjoul,"Seattle, WA","$55,000 - $65,000 a year",The Fulfillment & Client Engagement Manager is a generalist role that will be responsible for providing support to the Modjoul Account Team while maintaining an…
"Research Program Manager, Artificial Intelligence",Facebook,"New York, NY",,"We drive efficiency, cultivate relationships, increase knowledge sharing, and build capacity within our organization to enable Researchers to do their most…"
Operations Support Specialist,Shelf Engine,Washington State•Remote,"$50,000 - $62,000 a year","We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States."
Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+2 locations",,"The team is focused on applying deep learning techniques to solve AI problems such as copilot, question answering, NL2Code and various customer-facing products."
"Privacy Policy Manager, Artificial Intelligence",Facebook,"Menlo Park, CA 94025",,"A strong candidate will be familiar with privacy and fairness policy issues related to AI/ML, and how they relate to social media platforms, messaging services,…"
Investigation Specialist,Amazon.com Services LLC,"Bellevue, WA",,"Experience working cross functionally with tech and non-tech teams.Have the ability to research complex use cases that involves multiple customer contacts,…"
"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Seattle, WA 98104 (Downtown area)",,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
Machine Learning Researcher – Adversarial AI,Two Six Technologies,"Tacoma, WA+1 location",,"We've built large-scale data mining and generation pipelines, prototypes to visualize graphs with millions of nodes, and automated systems that detect malware,…"
Finance Manager - Cloud + Artificial Intelligence,Microsoft,"Redmond, WA 98052 (Overlake area)+2 locations",,Assembles and summarizes data through data mining and business intelligence to structure reports and financial models for decision support.
"AWS AI/ML Seattle Office Admin Assistant, AWS Artificial Int...","Amazon Web Services, Inc.","Seattle, WA",,High school or equivalent diploma.3+ years of work experience in an administrative/ office management capacity.Experience working with senior leadership.
"Senior Applied Scientist, Alexa Artificial Intelligence",Amazon.com Services LLC,"Seattle, WA+13 locations",,PhD degree with 4 years of applied research experience or a Masters degree and 6+ years of experience of applied research experience.
Accessibility Specialist - Alexa Accessibility,Amazon.com Services LLC,"Seattle, WA",,"Bachelor’s degree or equivalent practical experience in Computer Science, UX Research, Information Systems Management, or other related fields."
Senior Researcher,Microsoft,"Bellevue, WA+1 location",,Hands-on experience with proven track record of developing algorithms or systems in computer vision or other subfields of artificial intelligence.
"AI/ML - Chief of Staff, Machine Intelligence",Apple,"Seattle, WA",,The Machine Intelligence team is accelerating the creation of intelligent experiences in every Apple product.
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State•Remote,"$127,100 - $203,000 a year","Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk…"
Machine Learning Engineer,Zillow,Washington State•Remote,"$132,400 - $211,600 a year",These algorithms and platforms ingest large volumes of data and process it to build and deploy production models at scale that improve the home buying/selling…
"Senior Machine Learning Engineer, NLP",Zillow,"Seattle, WA 98101 (Downtown area)","$157,900 - $252,200 a year","Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant…"
Senior Data Scientist,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","This data can be mined for intelligence on competitive activity.The Customer Integrated Analytics (CIA) team sits at the intersection of Customer analytics,…"
Fulfillment & Client Engagement Manager,Modjoul,"Seattle, WA","$55,000 - $65,000 a year",The Fulfillment & Client Engagement Manager is a generalist role that will be responsible for providing support to the Modjoul Account Team while maintaining an…
Operations Support Specialist,Shelf Engine,Washington State•Remote,"$50,000 - $62,000 a year","We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States."
Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"The team is focused on applying deep learning techniques to solve AI problems such as copilot, question answering, NL2Code and various customer-facing products."
Investigation Specialist,Amazon.com Services LLC,"Bellevue, WA",,"Experience working cross functionally with tech and non-tech teams.Have the ability to research complex use cases that involves multiple customer contacts,…"
Machine Learning Researcher – Adversarial AI,Two Six Technologies,"Tacoma, WA+1 location",,"We've built large-scale data mining and generation pipelines, prototypes to visualize graphs with millions of nodes, and automated systems that detect malware,…"
Finance Manager - Cloud + Artificial Intelligence,Microsoft,"Redmond, WA 98052 (Overlake area)",,Assembles and summarizes data through data mining and business intelligence to structure reports and financial models for decision support.
"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Seattle, WA 98104 (Downtown area)",,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
"Senior Applied Scientist, Alexa Artificial Intelligence",Amazon.com Services LLC,"Seattle, WA",,PhD degree with 4 years of applied research experience or a Masters degree and 6+ years of experience of applied research experience.
"AWS AI/ML Seattle Office Admin Assistant, AWS Artificial Int...","Amazon Web Services, Inc.","Seattle, WA",,High school or equivalent diploma.3+ years of work experience in an administrative/ office management capacity.Experience working with senior leadership.
Principal Researcher,Microsoft,"Bellevue, WA",,"6+ years of research or engineering experience in speech, computer vision, natural language processing, machine learning, optimization, or other subfields of…"
"AI/ML - Chief of Staff, Machine Intelligence",Apple,"Seattle, WA",,The Machine Intelligence team is accelerating the creation of intelligent experiences in every Apple product.
Machine Learning Engineer,Zillow,Washington State•Remote,"$132,400 - $211,600 a year",These algorithms and platforms ingest large volumes of data and process it to build and deploy production models at scale that improve the home buying/selling…
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State•Remote,"$127,100 - $203,000 a year","Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk…"
"Senior Machine Learning Engineer, NLP",Zillow,"Seattle, WA 98101 (Downtown area)","$157,900 - $252,200 a year","Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant…"
